,x,lp,Nr,Ulica,Obiekt,NrZabytków,Dlugosc,Szerokosc,,,
,1,"Grodzisko/ 3 MAJA, Dąbrowskiego",14,"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzydło Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia",474,,,,, 
,274,ANGIELSKA GROBLA,07 C,kamienica,,,,,,
,275,ANGIELSKA GROBLA,07 D,kamienica,,,,,,
,276,ANGIELSKA GROBLA,07 E,kamienica,,,,,,
,277,ANGIELSKA GROBLA,10 B,kamienica,,,,,,
,278,ANGIELSKA GROBLA,11,kamienica,,,,,,
,279,ANGIELSKA GROBLA,12,kamienica,,,,,,
,280,ANGIELSKA GROBLA,13,kamienica,,,,,,
,281,ANGIELSKA GROBLA,14,kamienica,,,,,,
,282,ANGIELSKA GROBLA,15,kamienica,,,,,,
,283,ANGIELSKA GROBLA,16,kamienica,,,,,,
,284,ANGIELSKA GROBLA,17,kamienica,,,,,,
,285,ANGIELSKA GROBLA,18,kamienica,,,,,,
,286,ANGIELSKA GROBLA,19,"zespół Zakładów Mięsnych (9 obiektów: 3, 6, 12, 14, 15, 17, 18, 19, 22)",1029,,,,,
,287,ANGIELSKA GROBLA,30,dom,,,,,,
,288,ARKOŃSKA,5,dom,,,,,,
,289,ARKOŃSKA,7,dom,,,,,,
,290,ARKOŃSKA,15,dom,,,,,,
,291,ARKOŃSKA,18,dom,,,,,,
,292,ARKOŃSKA,20,dom,,,,,,
,293,ARKOŃSKA,22,dom,,,,,,
,294,ARKOŃSKA,25,dom,,,,,,
,295,ARKOŃSKA,35,dom,,,,,,
,296,ARKOŃSKA,36,dom,,,,,,
,297,ARKOŃSKA,39,dom,,,,,,
,298,ARKOŃSKA,41,dom,,,,,,
,299,ARKOŃSKA,43,dom,,,,,,
,300,ARKOŃSKA,44,dom,,,,,,
,301,ARKOŃSKA,47,dom,,,,,,
,302,ARKOŃSKA,56,dom,,,,,,
,303,ARKOŃSKA,58,dom,,,,,,
,304,ARKOŃSKA,61,dom,,,,,,
,305,ARKOŃSKA,69,dom,,,,,,
,306,ASNYKA Adama,2,dom,,,,,,
,307,ASNYKA Adama,3,dom,,,,,,
,308,ASNYKA Adama,4,dom,,,,,,
,309,ASNYKA Adama,5,dom,,,,,,
,310,ASNYKA Adama,6,dom,,,,,,
,311,ASNYKA Adama,7,dom,,,,,,
,312,ASNYKA Adama,8,dom,,,,,,
,313,ASNYKA Adama,9,dom,,,,,,
,314,ASTRONAUTÓW ,14,dom,,,,,,
,315,AUGUSTYŃSKIEGO Jana,1,"szkoła, d. koszary",,,,,,
,316,AUGUSTYŃSKIEGO Jana,2,Urząd Marszałkowski Województwa Pomorskiego,,,,,,
,317,AUGUSTYŃSKIEGO Jana,3,Baszta Biała,,,,,,
,318,BAJKI,13-13 A,dom,,,,,,
,319,BAJKI,16,dom,,,,,,
,320,BAJKI,20/22,dom,,,,,,
,321,BAJKI,23/25,dom,,,,,,
,322,BAJKI,24/26,dom,,,,,,
,323,BAJKI,27,dom,,,,,,
,324,BAJKI,29,dom,,,,,,
,325,BAJKI,31,dom,,,,,,
,326,BAŁTYCKA,3,dom,,,,,,
,327,BAŁTYCKA,4/4 A,dom,,,,,,
,328,BAŁTYCKA,9,dom,,,,,,
,329,BAŁTYCKA,13,dom,,,,,,
,330,BAŁTYCKA,14,dom,,,,,,
,331,BAŁTYCKA,16-17/30-31,zespół domów rybackich,1190,,,,,
,332,BAŁTYCKA,18-19/28-29,zespół domów rybackich,1190,,,,,
,333,BAŁTYCKA,20-21/26-27,zespół domów rybackich,1190,,,,,
,334,BAŁTYCKA,22/25,zespół domów rybackich,1190,,,,,
,335,BAŁTYCKA,39,dom,,,,,,
,336,BAŁTYCKA,41,dom,,,,,,
,337,BANIŃSKA ,02,dom,,,,,,
,338,BANIŃSKA ,12,dom,,,,,,
,339,BARNIEWICKA,76/76A,budynek folwarku Nowy Świat,,,,,,
,340,BARNIEWICKA,02,dom,,,,,,
,341,BARNIEWICKA,02,dom,,,,,,
,342,BARNIEWICKA,04 E,dom,,,,,,
,343,BARNIEWICKA,32,dom,,,,,,
,344,BARNIEWICKA,38,dom,,,,,,
,345,BARNIEWICKA,58,dom,,,,,,
,346,BARNIEWICKA,58,dom,,,,,,
,347,BARNIEWICKA,60,dom pracowników kolei,,,,,,
,348,BARNIEWICKA,60,przedszkole,,,,,,
,349,BARNIEWICKA,60 A,d. budynek dworca PKP Gdańsk-Osowa,,,,,,
,350,BARNIEWICKA,60 (w pobliżu),budynek spedycji kolejowej stacji Gdańsk-Osowa,,,,,,
,351,BARNIEWICKA,60 (w pobliżu),budynek toalety na stacji kolejowej Gdańsk-Osowa,,,,,,
,352,BARNIEWICKA,w  pobliżu adresu Barniewicka 42,budynek nastawni wykonawczej OS1 na stacji kolejowej Gdańsk-Osowa,,,,,,
,353,BARNIEWICKA,62,dom,,,,,,
,354,BARNIEWICKA,66,budynek gospodarczy ( d.związany z linią kolejową),,,,,,
,355,BARNIEWICKA,66,dom,,,,,,
,356,BATALIONÓW CHŁOPSKICH ,02/4,dom,,,,,,
,357,BATALIONÓW CHŁOPSKICH ,02/4,dom,,,,,,
,358,BATALIONÓW CHŁOPSKICH ,06/8,dom,,,,,,
,359,BATALIONÓW CHŁOPSKICH ,06/8,dom,,,,,,
,360,BATALIONÓW CHŁOPSKICH ,20,dom,,,,,,
,361,BATALIONÓW CHŁOPSKICH ,20,dom,,,,,,
,362,BATALIONÓW CHŁOPSKICH ,24,dom,,,,,,
,363,BATALIONÓW CHŁOPSKICH ,24,dom,,,,,,
,364,BATALIONÓW CHŁOPSKICH ,30/32,dom,,,,,,
,365,BATALIONÓW CHŁOPSKICH ,30/32,dom,,,,,,
,366,BATALIONÓW CHŁOPSKICH ,31,dom,,,,,,
,367,BATALIONÓW CHŁOPSKICH ,31,dom,,,,,,
,368,BATALIONÓW CHŁOPSKICH ,38,dom,,,,,,
